danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,label,mode_major,mode_minor
0.823,0.467,0,-10.394,0.301,0.543,0.0,0.135,0.618,95.024,4,saved,0,1
0.445,0.378,0,-8.043,0.031,0.318,0.0416,0.142,0.0729,71.835,4,saved,1,0
0.81,0.451,10,-6.348,0.249,0.152,0.0537,0.108,0.359,85.417,4,saved,0,1
0.637,0.569,6,-5.858,0.55,0.173,0.0,0.18,0.148,140.269,4,saved,1,0
0.747,0.492,11,-8.399,0.11,0.271,1.11e-05,0.263,0.189,124.87,4,saved,0,1
0.577,0.756,2,-5.82,0.115,0.159,0.000232,0.249,0.663,176.75,4,saved,1,0
0.378,0.403,7,-9.443,0.0346,0.98,0.00103,0.229,0.366,140.214,3,saved,0,1
0.452,0.68,1,-5.99,0.349,0.164,0.0,0.0796,0.316,75.684,1,saved,0,1
0.424,0.603,1,-6.832,0.0495,0.514,1.84e-06,0.238,0.258,155.319,4,saved,1,0
0.559,0.85,1,-3.501,0.0435,0.0423,0.697,0.122,0.0351,93.979,4,saved,0,1
0.854,0.468,1,-6.506,0.384,0.0448,0.0,0.165,0.223,140.096,4,saved,1,0
0.752,0.76,2,-5.34,0.0341,0.319,0.0,0.335,0.752,107.034,4,saved,1,0
0.35,0.845,7,-5.614,0.2,0.0107,0.0,0.123,0.45,99.643,5,saved,1,0
0.65,0.859,7,-4.092,0.13,0.0297,0.0,0.0985,0.661,93.079,4,saved,1,0
0.676,0.432,1,-9.51,0.502,0.00163,3.93e-06,0.0799,0.12,145.869,4,saved,1,0
0.764,0.74,8,-6.813,0.0547,0.147,0.0,0.122,0.219,91.5,3,saved,1,0
0.516,0.768,9,-4.964,0.0362,0.00852,8.49e-06,0.136,0.204,115.005,4,saved,1,0
0.379,0.879,1,-4.336,0.0363,0.0421,0.00435,0.146,0.375,102.021,4,saved,0,1
0.487,0.712,8,-7.323,0.27,5.2e-05,0.0,0.198,0.397,156.209,4,saved,1,0
0.602,0.91,4,-4.9,0.0403,0.0073,6.7e-06,0.265,0.826,94.01,4,saved,1,0
0.83,0.585,1,-5.802,0.0366,0.225,0.00209,0.0576,0.642,105.03,4,saved,1,0
0.478,0.708,9,-7.718,0.0436,0.0199,0.0361,0.109,0.194,109.986,4,saved,1,0
