danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,label
0.695,0.807,9,-5.123,1,0.0346,0.0121,0.0,0.266,0.4,91.947,4V8uu21mnpyg7BElNNJdPs,4,saved
0.51,0.533,7,-6.194,1,0.359,0.194,0.0,0.117,0.262,88.154,7fheaybAcABeiuYU6VgDrQ,4,saved
0.764,0.475,0,-12.618,1,0.114,0.345,0.0,0.14,0.34,129.974,0l4EfZzVD0LyJhibHIIVxo,4,saved
0.615,0.8,7,-7.423,1,0.0571,0.0684,0.0,0.106,0.309,134.052,6EAE96fgYkea6qZ3pXigNG,4,saved
0.656,0.804,8,-5.191,0,0.363,0.173,0.0,0.837,0.314,125.882,2WWruw7ul9N7eqoHELyMc2,4,saved
0.701,0.713,9,-7.026,0,0.203,0.112,0.0,0.0802,0.463,149.927,0ZWz3gOJX54nc3c7enurwC,4,saved
0.743,0.808,11,-4.623,0,0.288,0.245,0.0,0.16,0.584,90.103,51RtkFZ9eSC2IlutR8Lukb,4,saved
0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,6fwdbPMwP1zVStm8FybmkO,4,saved
0.641,0.716,11,-6.435,1,0.257,0.0568,0.0,0.366,0.32,87.449,6GFU1tewzJuAdMbqSZ4A2o,4,saved
0.74,0.51,5,-7.477,1,0.0242,0.211,0.00951,0.0825,0.528,105.013,035QPHPAcqApSGMMcogT45,4,saved
0.921,0.442,1,-6.347,1,0.287,0.194,6.11e-06,0.0907,0.0552,124.055,1jNrotshHZUS2wj7MU6Lw9,4,saved
0.445,0.599,0,-6.824,1,0.0298,0.0508,4.26e-05,0.178,0.417,139.775,2ICyhgONt8SyBo9R8vIelt,4,saved
0.547,0.56,5,-10.504,0,0.0421,0.848,8.21e-06,0.07,0.5,92.307,2vZgsMsIIJl1Voy5Lf3Svn,4,saved
0.418,0.546,0,-9.057,0,0.238,0.227,0.0,0.229,0.294,160.152,0TiC3GtlMCskf2hIUIBcDV,4,saved
0.727,0.513,8,-7.582,1,0.212,0.00294,0.0,0.33,0.238,149.981,1gta5fLTR1VhUMwwGxP6vA,4,saved
0.704,0.419,8,-7.984,1,0.392,0.501,0.0,0.103,0.222,159.299,2RwFo57JjznjveEqvBuRJX,4,saved
0.489,0.575,7,-11.64,0,0.047,0.533,7.64e-06,0.238,0.579,100.212,6lY5R1WkMgA6sLPv07qA3O,4,saved
0.501,0.403,9,-9.607,0,0.0752,0.114,1.1e-05,0.124,0.27,132.608,6J7PIkhtHwmFjPLq0SyuPj,3,saved
0.59,0.682,8,-5.646,1,0.0483,0.0184,0.0,0.354,0.264,75.004,5e3vokINVx2oxBaEDPvhig,4,saved
0.47,0.792,4,-4.788,1,0.0972,0.0483,2.08e-06,0.129,0.409,150.956,6Dw696uOB5aKDyLzUJREBr,4,saved
0.793,0.653,7,-7.839,1,0.103,0.0484,4.91e-05,0.1,0.393,117.993,7fJtPlEZKxu6gvkfBFc5tW,4,saved
0.67,0.409,2,-13.811,1,0.0511,0.0348,0.18,0.131,0.0374,114.972,4xaslV7tB8Sw5g4ydqiXWw,4,saved
0.353,0.753,1,-6.276,0,0.74,0.0833,0.0,0.383,0.432,191.142,2N6bB5ck67CNILInUX1Ctw,4,saved
0.635,0.545,2,-5.445,1,0.0431,0.0638,0.0,0.594,0.674,124.861,0j7TyhdgUALfOTTNPwI3vu,4,saved
0.437,0.363,5,-9.187,0,0.0283,0.369,0.0,0.178,0.52,87.333,2cI7j96n1rfv4RNKuri4or,4,saved
0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0595,133.054,334S9SWZMjyRDN0wrHw7wk,4,saved
0.373,0.569,10,-7.846,1,0.0515,0.205,4.19e-05,0.377,0.274,89.918,5tVmNtMvCCABF6u2IyLLjX,4,saved
0.494,0.697,7,-7.232,0,0.309,0.708,0.000405,0.0602,0.344,107.669,3vFj4xuQTXHOuo6L0qGafv,4,saved
0.647,0.339,6,-8.551,1,0.185,0.719,1.89e-06,0.104,0.653,93.339,23n7KwXOXC9giXTz5Q71NH,4,saved
0.597,0.588,9,-8.432,0,0.408,0.754,0.0,0.195,0.439,133.772,0fIdptEaBDh3FZii3PRwtt,3,saved
0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,4QhWbupniDd44EDtnh2bFJ,4,saved
0.537,0.449,1,-10.494,1,0.102,0.112,1.51e-05,0.285,0.169,100.007,4dWVEAVhqNUjvsBHUo477f,4,saved
0.567,0.543,0,-7.736,1,0.0313,0.00309,0.0758,0.163,0.0899,113.034,0Hl7Z3TIEgY0JSbQNDM4ZA,4,saved
0.613,0.681,8,-3.089,1,0.0778,0.0287,0.0,0.126,0.619,97.621,45XhKYRRkyeqoW3teSOkCM,4,saved
0.554,0.85,0,-7.428,1,0.0401,0.00243,0.172,0.108,0.244,120.011,21fq2CKL93mfnYHItpitxg,4,saved
0.624,0.423,1,-8.757,1,0.0628,0.748,8.18e-05,0.103,0.325,81.299,3X3mfRMRaPJRiIMDMQtSkd,4,saved
0.376,0.821,0,-3.974,1,0.104,0.0785,0.0,0.0823,0.331,120.462,1wYZZtamWTQAoj8B812uKQ,4,saved
0.759,0.498,10,-10.615,1,0.0776,0.223,5.84e-05,0.406,0.244,126.972,7iMDaY1LnASwCk2uUpMtii,4,saved
0.599,0.571,2,-4.998,1,0.0665,0.198,0.0,0.0969,0.285,151.974,2VdT56BGpdqNHUgOe1j5vc,4,saved
0.728,0.701,1,-6.58,1,0.0406,0.0945,2.08e-05,0.181,0.413,137.97,3CAqTfkRgmImhxYDjyL6S7,4,saved
0.699,0.601,0,-6.48,1,0.0304,0.0972,1.17e-05,0.562,0.434,98.04,6olUplztLFFfU7fMYmFXOP,4,saved
0.539,0.431,2,-10.117,1,0.0433,0.111,0.00262,0.0535,0.204,119.489,39r3UkUOYMh9pPQmKSZnuE,4,saved
0.496,0.487,6,-7.003,1,0.0301,0.0222,1.85e-05,0.638,0.321,138.187,1EAZ0APxPiVuzDb7R5TfVI,4,saved
0.509,0.895,4,-4.488,0,0.0511,0.0165,0.000356,0.256,0.61,106.814,1UmsxOBlPoMbWzIZ05aurH,4,saved
0.518,0.587,0,-7.937,1,0.12,0.0168,1.19e-06,0.206,0.631,98.367,1eftOUoeMO1JkSQQmS6jXF,4,saved
0.527,0.82,6,-5.855,1,0.0325,0.00157,1.88e-05,0.0882,0.25,120.041,5PCdkbHYacEdWbZRRPopmM,4,saved
0.649,0.818,4,-6.786,0,0.0354,0.0924,0.0,0.671,0.208,109.966,4ng0gXW0V1ZPMRq3o5NMOt,4,saved
0.905,0.506,2,-8.598,1,0.0588,0.0149,3.56e-05,0.371,0.122,110.017,4v7SAP4KD96BFLWiCd1vF0,4,saved
0.505,0.68,7,-4.99,1,0.0713,0.0796,0.0,0.0465,0.539,168.021,25KybV9BOUlvcnv7nN3Pyo,3,saved
0.513,0.457,5,-9.796,0,0.0716,0.159,1.05e-05,0.0623,0.709,101.952,70E8xgEavw6UrRHj7BNp0H,4,saved
0.596,0.243,10,-11.759,0,0.0471,0.978,0.000299,0.0907,0.374,126.253,6Vigp41BietH0WoFZ52JI5,4,saved
0.566,0.755,11,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006,4Sfa7hdVkqlM8UW5LsSY3F,4,saved
0.455,0.858,0,-4.221,0,0.044,0.00262,0.0,0.201,0.479,141.957,6pLhhL7EzoVWoyvyTBjqP6,4,saved
0.65,0.52,1,-10.206,1,0.0413,0.00306,0.00553,0.112,0.401,89.999,2xdYO2kc8ZQ711YFCO2Wth,4,saved
0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.678,140.063,4gmmRb6bZJffOOiww1JGTO,4,saved
0.72,0.884,6,-10.656,0,0.0402,0.0766,0.119,0.0726,0.849,93.721,4qkT7JGoi9iHOz8cbrcHGK,4,saved
0.422,0.827,2,-5.31,1,0.0445,0.000507,0.765,0.198,0.327,152.956,4PgJ0NUYaDDh659TW5mWBK,4,saved
0.375,0.657,8,-6.661,0,0.0251,0.0161,0.00115,0.13,0.182,96.041,437h9GRi70A1BzMzh4cyra,3,saved
